대사 고유 번호	할당 캐릭터	등장 호감도	등장 일러스트 파일 명	대사 내용	연결 씬 이미지	기획자 확인란	발생 시점	장착 코스튬
100138	2	20	Images/standingCG/ShopNPC1_LightSmile	그게 정상이긴 하지.		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100139	1	20	Images/standingCG/Hero1_WeakAnger	그게 아니라 뭔가 이상한 괴물들이 나타나기 시작했다고요…!		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100140	1	20	Images/standingCG/Hero1_BigShock	징그럽고…뭔가 기괴한…		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100141	2	20	Images/standingCG/ShopNPC1_Normal	…흔한 괴물이잖아.		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100142	1	20	Images/standingCG/Hero1_Embarrassed	무슨 말을 하시는 거예요?		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100143	1	20	Images/standingCG/Hero1_Embarrassed	괴물들은 기본적으로 귀엽게 생겼….		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100144	2	20	Images/standingCG/ShopNPC1_Embarrassed	…?		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100145	2	20	Images/standingCG/ShopNPC1_Frown	……????		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100146	1	20	Images/standingCG/Hero1_AwkwardSmile	왜 그렇게 보시는거죠?		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100147	2	20	Images/standingCG/ShopNPC1_Embarrassed	너 설마 진짜 괴물들이 귀엽게 보이는거야?		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100148	1	20	Images/standingCG/Hero1_AwkwardSmile	그, 그런데요? 뭔가 문제가 있나요?		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100149	2	20	Images/standingCG/ShopNPC1_LightSmile	너와 대화하다보면 언제나 위화감이 느껴지곤 했는데…기분탓이 아니었구나.		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100150	1	20	Images/standingCG/Hero1_Seriousness	위, 위화감이라니…		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100151	2	20	Images/standingCG/ShopNPC1_Normal	괴물이 귀엽게 보이고, 세상에 안전한 장소가 있다고 믿고 있다는 게 정상은 아니었지.		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100152	1	20	Images/standingCG/Hero1_Embarrassed	대체 무슨 말씀을 하시는거예요?		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100153	2	20	Images/standingCG/ShopNPC1_LightSmile	아. 그래		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100154	2	20	Images/standingCG/ShopNPC1_LightSmile	그래서 나보고 계속 떠나라고 한 거였나?		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100155	1	20	Images/standingCG/Hero1_Embarrassed	아랫마을에 가시면 안전하게 있을 수 있으니까요!		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100156	2	20	Images/standingCG/ShopNPC1_Embarrassed	아랫마을?? 설마 [프라이둠]?		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100157	1	20	Images/standingCG/Hero1_Unrest	맞, 맞아요.		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100158	1	20	Images/standingCG/Hero1_Unrest	문제가 있나요..?		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100159	2	20	Images/standingCG/ShopNPC1_BigSmile	하하하하하하하하하!!		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100160	1	20	Images/standingCG/Hero1_Embarrassed	….?!		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100161	1	20	Images/standingCG/Hero1_Embarrassed	왜 그러세요..?		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100162	1	20	Images/standingCG/Hero1_Embarrassed	오늘따라 이상하세요…!		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100163	2	20	Images/standingCG/ShopNPC1_BigSmile	반대야.		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100164	2	20	Images/standingCG/ShopNPC1_LightSmile	이상한 건 너야. 자칭 영웅		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100165	1	20	Images/standingCG/Hero1_Embarrassed	네?		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100166	2	20	Images/standingCG/ShopNPC1_LightSmile	프라이둠은 괴물이 세상에 나타난 뒤, 가장 먼저 파괴되었어.		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100167	2	20	Images/standingCG/ShopNPC1_LightSmile	그 소식으로 모두가 괴물의 등장을 알게 됐는 걸?		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100168	2	20	Images/standingCG/ShopNPC1_LightSmile	넌 그 마을의 생존자인 모양인데…		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100169	1	20	Images/standingCG/Hero1_WeakAnger	그럴 일 없어요!		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100170	1	20	Images/standingCG/Hero1_WeakAnger	제가 이곳에 오기 전까지만 해도 마을은 있었다고요!		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100171	1	20	Images/standingCG/Hero1_WeakAnger	모두…		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100172	2	20	Images/standingCG/ShopNPC1_LightSmile	넌 마을이 파괴될 때 충격을 못이겨 모든 걸 보고 싶은대로 보고 있는거야.		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100173	2	20	Images/standingCG/ShopNPC1_LightSmile	그래, 충분히 이해해.		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100174	2	20	Images/standingCG/ShopNPC1_LightSmile	미쳐버린 세상에서 살아남기 위해선 스스로가 미쳐버려야 하지.		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100175	2	20	Images/standingCG/ShopNPC1_LightSmile	점점 기괴한 괴물이 보인다며?		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100176	2	20	Images/standingCG/ShopNPC1_LightSmile	환상 뿐인 마을에서 살다가 이곳으로 오면서 점점 현실을 깨달게 된 거지.		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100177	1	20	Images/standingCG/Hero1_StrongAnger	아, 아니야!!		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100178	2	20	Images/standingCG/ShopNPC1_LightSmile	현실을 받아들여.		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100179	2	20	Images/standingCG/ShopNPC1_LightSmile	아니지.		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100180	2	20	Images/standingCG/ShopNPC1_LightSmile	환상에 갇힌 채로 있는 게 더 좋으려나?		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100181	1	20	Images/standingCG/Hero1_Unrest	난 정상이야.		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100182	1	20	Images/standingCG/Hero1_MentalBreakdown	미쳐버린 건 오히려 당신이겠지!		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100183	1	20	Images/standingCG/Hero1_MentalBreakdown	약한 주제에 괴물에게 덤벼들고…		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100184	1	20	Images/standingCG/Hero1_MentalBreakdown	그래, 처음부터 정상이 아니었어.		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100185	1	20	Images/standingCG/Hero1_MentalBreakdown	나한테 다가오지마. 나까지 미치게 만들지 마!!		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100186	2	20	Images/standingCG/ShopNPC1_LightSmile	그래. 나도 미쳐버린 걸 수도 있지.		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100187	2	20	Images/standingCG/ShopNPC1_LightSmile	그런 세상이잖아?		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100188	2	20	Images/standingCG/ShopNPC1_LightSmile	왜 새삼스럽게 그래?		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100189	1	20	Images/standingCG/Hero1_MentalBreakdown	난 아니야. 마을도, 부모님도 전부 그대로 있어.		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100190	2	20	Images/standingCG/ShopNPC1_LightSmile	   .....		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100191	2	20	Images/standingCG/ShopNPC1_BigSmile	하하하하하하하하!!		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100192	1	20	Images/standingCG/Hero1_MentalBreakdown	….		호감도 레벨 20 이상일 경우/ 최종 스테이지 돌입 전 / 대화 이벤트 실행시 발생하는 스크립트 챕터 4(대화)	6	기본
100193	2	20	Images/standingCG/ShopNPC1_LightSmile	차라리 나도 너처럼 단단히 미쳐버렸다면 얼마나 좋았을까.		챕터 4 스크립트가 종료된 후 발생하는 반복 스크립트(반복)	3	기본
100194	1	15	Images/standingCG/Hero1_SmallShock	뭐, 뭐였지.		호감도 레벨 15 달성 시 스테이지 클리어 후 스크립트 등장(스테이지 끝나고)	4	기본
100195	1	15	Images/standingCG/Hero1_SmallShock	잘못 본건가…?		호감도 레벨 15 달성 시 스테이지 클리어 후 스크립트 등장(스테이지 끝나고)	4	기본
100196	1	18	Images/standingCG/Hero1_SmallShock	잘못 본게 아니야…		호감도 레벨 18 달성 시 스테이지 클리어 후 스크립트 등장(스테이지 끝나고)	4	기본
100197	1	18	Images/standingCG/Hero1_BigShock	새로운 형태의 괴물이…		호감도 레벨 18 달성 시 스테이지 클리어 후 스크립트 등장(스테이지 끝나고)	4	기본
100198	1	18	Images/standingCG/Hero1_BigShock	지금까지 와는 다른 기괴한 괴물이 나타나기 시작했어.		호감도 레벨 18 달성 시 스테이지 클리어 후 스크립트 등장(스테이지 끝나고)	4	기본
100199	1	18	Images/standingCG/Hero1_BigShock	내 육체가 본능적으로 위험하다고 말하고 있어.		호감도 레벨 18 달성 시 스테이지 클리어 후 스크립트 등장(스테이지 끝나고)	4	기본
100200	1	18	Images/standingCG/Hero1_BigShock	위험해…		호감도 레벨 18 달성 시 스테이지 클리어 후 스크립트 등장(스테이지 끝나고)	4	기본
100201	1	18	Images/standingCG/Hero1_BigShock	이건 정말 위험해…!		호감도 레벨 18 달성 시 스테이지 클리어 후 스크립트 등장(스테이지 끝나고)	4	기본
100202	2	4	Images/standingCG/ShopNPC1_Tsundere	항상 구해줘서 고, 고마워.		호감도 3이상 달성 시 발생하는 반복 스크립트	3	기본
100203	2	8	Images/standingCG/ShopNPC1_Awkward	아하하하...안녕? 고생하네?		호감도 8이상 달성 시 발생하는 반복 스크립트	3	기본
100204	2	13	Images/standingCG/ShopNPC1_Embarrassed	...안녕? 구해줘서 고마워.		호감도 13이상 달성 시 발생하는 반복 스크립트	3	기본
100205	2	16	Images/standingCG/ShopNPC1_Tsundere	표, 표정이 왜 그래? 무슨 일 있어?		호감도 16이상 달성 시 발생하는 반복 스크립트	3	기본
200001	2	0	Images/standingCG/ShopNPC1_Costume_Bikini	바다도 아닌데 비키니라고? 너...변, 변태야??		코스튬 비키니 착용시 발생하는 일시 반복 스크립트	7	차이나드레스
200002	2	0	Images/standingCG/ShopNPC1_Costume_Maid	주인님~ 뭘 드릴까요? 막 이래		코스튬 메이드복 착용시 발생하는 일시 반복 스크립트	7	메이드복
200003	2	0	Images/standingCG/ShopNPC1_Costume_ChinaDress	내, 내 취향은 아닌데 특별히 너니까 입어주는 거야!		코스튬 치파오 착용 시 발생하는 일시 반복 스크립트	7	수영복
